judul,lokasi,harga,luas_tanah_m2,luas_bangunan_m2,kamar_tidur,kamar_mandi,garasi,poster,posting_date
Rumah mewah cempaka putih tengah  hanya 10 menit ke tol,"Menteng, Jakarta Pusat","1,37 Miliar",36,68,4,3,1,dianti yunita,02 Agustus 2022
rumah murah cempaka putih tengah dekat pusat kuliner taman solo,"Cempaka Putih, Jakarta Pusat","1,38 Miliar",36,69,3,2,1,dianti yunita,02 Agustus 2022
Rumah Murah Angkasa Kemayoran Hanya 10 Menit Ke Tol Ancol,"Kemayoran, Jakarta Pusat",519 Juta,21,40,2,1,,dianti yunita,02 Agustus 2022
rumah ready cempaka putih tengah hanya 10 menit ke tol,"Cempaka Putih, Jakarta Pusat","1,63 Miliar",35,100,4,3,1,dianti yunita,02 Agustus 2022
Rumah Bagus Murah Di Menteng Sale,"Menteng, Jakarta Pusat",38 Miliar,700,1500,7,7,,Silvia Ray White Prestige,02 Agustus 2022
murah rumah tua luas layak huni di cempaka putih barat jakpus,"Cempaka Putih, Jakarta Pusat","1,85 Miliar",129,200,5,3,,Silvia Ray White Prestige,02 Agustus 2022
Rumah mewah pool di Menteng lokasi super strategis Jakpus,"Menteng, Jakarta Pusat",70 Miliar,970,900,4,2,,Silvia Ray White Prestige,02 Agustus 2022
"Rumah Murah Dan Luas ,jl Batang Hari Cideng Jakarta Pusat Luas 240m2 Harga 5,5m Nego Tipisss Lokasi Sangat Bagus","Cideng, Jakarta Pusat","5,5 Miliar",240,400,6,3,1,Leon hart,30 Agustus 2022
Rumah di Daerah Menteng Dengan Caffe Dan Kitchen Studio,"Menteng, Jakarta Pusat",68 Miliar,900,509,7,5,1,Ruth Ivonne,30 Agustus 2022
HARUS TERJUAL Rumah di Golf Residence Kemayoran view golf,"Kemayoran, Jakarta Pusat","8,8 Miliar",200,285,4,4,,Arin property,30 Agustus 2022
murah Rumah 2 Lantai di Kramat pulo Senen  ngantong,"Senen, Jakarta Pusat","3,5 Miliar",127,180,4,3,2,Silvia Ray White Prestige,30 Agustus 2022
"Rumah kostan 3 Lantai 16 Kamar di Gajah Mada, Jakarta Pusat","Batu Ceper, Jakarta Pusat","3,3 Miliar",102,306,17,6,1,Ronnie Susilo,30 Agustus 2022
"Rumah Kost 44 Kamar TERMURAH Terisi PENUH fasilitas Lift di Area Gunung Sahari, Jakarta Pusat","Gambir, Jakarta Pusat","17,5 Miliar",360,1500,44,44,,Joko Suhartono,29 Agustus 2022
Jual Cepat Rumah Petojo Bagus Sekali,"Petojo, Jakarta Pusat",6 Miliar,215,250,5,3,,Maxi Zhuo,29 Agustus 2022
Rumah Etnik Lokasi Prime di Menteng Jakarta Pusat,"Menteng, Jakarta Pusat",100 Miliar,1225,800,6,6,4,Ecko Adiamsah,29 Agustus 2022
Cepat  Rumah Mewah Menteng Siap Huni Termurah,"Menteng, Jakarta Pusat",33 Miliar,532,518,4,3,4,Yeni  Pricilia,23 Agustus 2022
Rumah Mewah Fully Furnished Di Menteng,"Menteng, Jakarta Pusat",69 Miliar,474,1200,5,,,Louis Santoso,23 Agustus 2022
"Rumah Bagus Menteng Siap Huni,  Termurah","Menteng, Jakarta Pusat",33 Miliar,532,518,4,3,4,SESSU _ GadingPro,23 Agustus 2022
"Rumah Bagus dekat Bundaran HI dan Grand Indonesia, Bisa Untuk Hotel/Apartemen/Kantor/Rumah (LT/LB: 700/2000)","Menteng, Jakarta Pusat",95 Miliar,700,2000,9,9,,Bulan Primasty,23 Agustus 2022
RUMAH CLASSIC DEKAT KE SENAYAN AREA (LT/LB: 216/500),"Pejompongan, Jakarta Pusat",17 Miliar,216,500,5,6,,Bulan Primasty,23 Agustus 2022
"Rumah Brand New di kawasan Elite Menteng, Lux, 3 lantai","Menteng, Jakarta Pusat",79 Miliar,900,2000,4,4,2,Joko Sutrisno,23 Agustus 2022
Di  rumah tinggal bisa untuk komersil thamrin jakpus,"Thamrin, Jakarta Pusat",30 Miliar,275,1200,6,,,O C A S A Official property perfected,16 Agustus 2022
Rumah 10x30 di Kartini,"Kartini, Jakarta Pusat","6,49 Miliar",300,400,2,3,2,Helen helen,16 Agustus 2022
Rumah Jl. Subang Menteng Jakarta Pusat  Suasana Tenang,"Menteng, Jakarta Pusat",49 Miliar,660,750,4,3,4,Julianto Firman,16 Agustus 2022
Rumah Mewah di Jl Ki Mangunsarkoro  Luas Tanah 717m2,"Menteng, Jakarta Pusat",62 Miliar,717,1200,5,3,4,Julianto Firman,16 Agustus 2022
Rumah Mewah Benhil Sangat Strategis 2 Lantai Furnished,"Bendungan Hilir, Jakarta Pusat","7,5 Miliar",177,177,4,3,,Meli,16 Agustus 2022
Rumah Bagus dan Terawat,"Cideng, Jakarta Pusat","9,9 Miliar",200,300,5,6,,Suandi Widiarto,16 Agustus 2022
RUMAH TUA HARGA NJOP DI KRAMAT JAKARTA PUSAT. RUMAH BEBAS BANJIR & AKSES 2 MOBIL,"Kramat, Jakarta Pusat","3,4 Miliar",353,212,4,2,,Tian,15 Agustus 2022
Rumah Kost Kramat Senen Jakarta Pusat,"Kramat, Jakarta Pusat",18 Miliar,774,1500,,,,Ronny Djie,15 Agustus 2022
"Dijual Cluster di Pusat Bisnis Jakarta Lokasi Strategis Harga Terjangkau, Kualitas Bangunan Terjamin, Bagus","Kemayoran, Jakarta Pusat",500 Juta,27,42,2,2,,Syahwana,09 Agustus 2022
"Rumah Tanah Luas Harga TURUN di Petojo, Jakarta Pusat, Dekat Tanah Abang, Harmoni, Tomang","Petojo, Jakarta Pusat","8,9 Miliar",428,468,3,2,,CHRiSTiN RiZaL,09 Agustus 2022
"Dijual Rumah Design Etnik di Menteng, Jakarta Pusat Lokasi Strategis Swimming Pool","Menteng, Jakarta Pusat",100 Miliar,1225,800,6,6,4,Davin Wjy,09 Agustus 2022
"Rumah Di Taman Sunda Kelapa Area, Meteng","Menteng, Jakarta Pusat","54,2 Miliar",753,600,4,4,,Louis Santoso,29 Agustus 2022
RUMAH JL. PANARUKAN MENTENG,"Menteng, Jakarta Pusat",58 Miliar,610,610,,,,Louis Santoso,22 Agustus 2022
"RUMAH LAMA HITUNG TANAH DI JL. ALAYDRUS, Jakarta Pusat","Petojo, Jakarta Pusat","12,9 Miliar",400,200,,,,Louis Santoso,22 Agustus 2022
MENTENG BRAND NEW,"Menteng, Jakarta Pusat",80 Miliar,920,2000,4,,,Louis Santoso,22 Agustus 2022
Rumah 2 Lantai Siap Huni Full Furnished di Menteng,"Menteng, Jakarta Pusat",33 Miliar,532,518,4,3,4,Joko Sutrisno,22 Agustus 2022
LOKASI BAGUS  JL. BANYUMAS MENTENG,"Menteng, Jakarta Pusat",50 Miliar,706,400,4,4,2,RUMETTA SIAHAAN,22 Agustus 2022
Rumah Pinggir Jalan dan Cocok Untuk Kantor dan Ruang Usaha @Jl Tanah Abang,"Gambir, Jakarta Pusat","18,5 Miliar",300,225,8,4,,Widi Widja,22 Agustus 2022
Rumah Murah di cempaka putih jakarta pusat,"Cempaka Putih, Jakarta Pusat","1,39 Miliar",34,98,3,2,1,Sinta miyanata,15 Agustus 2022
RUMAH LAMA AREA KOMERSIAL DI MENTENG (Dekat Plaza Indonesia dan Thamrin),"Menteng, Jakarta Pusat",38 Miliar,340,450,,,,Louis Santoso,15 Agustus 2022
"RUMAH di Ketapang, Zainul Arifin Jakarta Pusat, Cocok Untuk Usaha","Gambir, Jakarta Pusat",33 Miliar,602,300,,,,Louis Santoso,15 Agustus 2022
RUMAH LAMA HITUNG TANAH di CEMPAKA PUTIH TENGAH,"Cempaka Putih, Jakarta Pusat",23 Miliar,1010,600,8,,,Louis Santoso,15 Agustus 2022
Rumah Tinggal/Kantor,"Bendungan Hilir, Jakarta Pusat",14 Miliar,270,340,2,2,5,Rika Widjaja,15 Agustus 2022
Rumah  murah siap huni Kwitang Senen 10 menit ke tol,"Senen, Jakarta Pusat","1,59 Miliar",58,71,2,2,1,dianti yunita,15 Agustus 2022
Rumah Mewah di Jl Jambu - Menteng,"Menteng, Jakarta Pusat",39 Miliar,586,800,4,4,,O C A S A Official property perfected,15 Agustus 2022
Rumah bagus di jalan Solo - Menteng,"Menteng, Jakarta Pusat",28 Miliar,285,450,4,3,,O C A S A Official property perfected,15 Agustus 2022
rumah di menteng jakpus,"Menteng, Jakarta Pusat",60 Miliar,510,249,6,5,3,O C A S A Official property perfected,15 Agustus 2022
Di  rumah di menteng Jakpus,"Menteng, Jakarta Pusat",69 Miliar,474,1200,4,5,,O C A S A Official property perfected,15 Agustus 2022
"Cozy Home   At Menteng, Jakarta Pusat","Menteng, Jakarta Pusat",27 Miliar,285,400,4,3,2,Sri Koesharjadi,15 Agustus 2022
rumah murah sawah besar hanya 5 menit ke stasiun,"Gunung Sahari, Jakarta Pusat",595 Juta,22,42,2,2,,dianti yunita,08 Agustus 2022
Hunian Nyaman dengan lokasi sangat strategis di Pamulang,"Menteng, Jakarta Pusat",695 Juta,70,45,2,1,1,"Tayang Sejak 08 Agustus, 2022",
Di  Jual Rumah Termurah Stategis dii kartini Pusat kota Jakarta,"Sawah Besar, Jakarta Pusat",540 Juta,20,38,2,2,,Tina apriani,08 Agustus 2022
Bagus Banget Rumah 8x15 Fully Furnished Town House Springhill Kemayoran Hub: 0817 0120 620,"Kemayoran, Jakarta Pusat",6 Miliar,120,400,4,3,3,Ita Tan,08 Agustus 2022
Rumah Mewah  siap huni di kwitang kembang Pusat jakarta pusat,"Menteng, Jakarta Pusat","1,62 Miliar",58,72,2,2,2,Fikor rizazul,08 Agustus 2022
Rumah modern di gang mandor 6 pasar baru lautze jakarta pusat,"Gunung Sahari, Jakarta Pusat",540 Juta,24,43,2,2,,Fikor rizazul,08 Agustus 2022
Rumah Kost 3 Lantai Omzet Besar Di Benhil Jakarta Pusat 21 Kamar Harga Murah Lokasi Strategis,"Bendungan Hilir, Jakarta Pusat","4,99 Miliar",127,381,21,21,,Sumarno,08 Agustus 2022
Rumah murah mewah dan elegan di pusat kota cempaka putih 77,"Cempaka Putih, Jakarta Pusat","1,37 Miliar",36,68,2,2,1,Jamal,08 Agustus 2022
Dijual Rumah Antik 1 Lantai Di Alaydrus Dekat Pusat Bisnis,"Petojo, Jakarta Pusat","11,8 Miliar",314,329,4,6,,Budi Tri Hariyanto,28 Agustus 2022
"Rumah Menteng 2 Lantai, Top Arsitek Dan Mewah di Menteng Jakarta Pusat","Menteng, Jakarta Pusat",55 Miliar,661,800,4,4,2,Widia Winoto,21 Agustus 2022
Rumah Menteng 2 Lantai Furnish Mewah di Menteng Jakarta Pusat,"Menteng, Jakarta Pusat",33 Miliar,532,592,4,4,4,Widia Winoto,21 Agustus 2022
"Rumah Kos 106 Kamar Terisi Penuh Omzet Istimewa, Roi 10 di Jl. Kramat Jakarta","Kramat, Jakarta Pusat",18 Miliar,774,1400,99,50,,Joko Suhartono,07 Agustus 2022
Jual Rumah Furnish ada lift siap huni di Springhill Kemayoran Jakarta Pusat,"Kemayoran, Jakarta Pusat",6 Miliar,120,400,4,3,1,Johan Paiman,07 Agustus 2022
"Rumah Baru Sertifikat Hak Milik di Kemayoran, Jakarta Pusat","Kemayoran, Jakarta Pusat",642 Juta,20,36,2,1,,dianti yunita,06 Agustus 2022
"Rumah Lama Di Pejompongan Raya Cocok Utk Kantor, Kos2an Rsa122102","Pejompongan, Jakarta Pusat","23,5 Miliar",450,300,6,5,,Afief RSA,26 Agustus 2022
Rumah Nyaman Tengah Kota Selangkah Dari Scbd Rsa092102,"Bendungan Hilir, Jakarta Pusat","6,25 Miliar",178,197,5,4,,Afief RSA,26 Agustus 2022
"Rumah Cempaka Putih, Baru , Nyaman, Tidak Pernah Banjir","Cempaka Putih, Jakarta Pusat","6,5 Miliar",186,300,3,3,2,SALEH R,26 Agustus 2022
Di Jual Rumah Brand New Mewah American Classic Cempaka Putih,"Cempaka Putih, Jakarta Pusat","10,9 Miliar",297,412,4,4,2,Agung Wibowo,26 Agustus 2022
Cepat! Rumah di Menteng Lokasi Terbaik di Bawah 70 juta per meter,"Menteng, Jakarta Pusat",49 Miliar,733,548,7,8,2,Adhi Arza,26 Agustus 2022
Rumah Mewah Menteng Brandnew  With Pool and Roof Garden Baguss,"Menteng, Jakarta Pusat",85 Miliar,920,2000,4,4,4,Henny Ray White Prestige,19 Agustus 2022
Rumah di Jl Cempaka putih tengah 2A belakang Kampus   Kedokteran Yarsi dekat Halte busway Cempaka putih tengah 3 Lantai SHM Baru Unfurnished,"Cempaka Putih, Jakarta Pusat","1,39 Miliar",36,99,3,3,1,Citra Yulinda property,12 Agustus 2022
"Rumah Hitung Tanah Luas 700 m2, Kebon Sirih Jakarta Pusat. SHM","Kebon Sirih, Jakarta Pusat",26 Miliar,700,500,4,5,,Heru Hermawan,12 Agustus 2022
"Rumah Mewah Di Menteng, Jakarta Pusat. Luas 803 m2, SHM, Fully Furnish","Menteng, Jakarta Pusat",80 Miliar,707,803,5,5,,Heru Hermawan,12 Agustus 2022
Di  Rumah Mewah Menteng,"Menteng, Jakarta Pusat",69 Miliar,474,1000,5,5,,Heru Hermawan,12 Agustus 2022
Rumah Cempaka Putih - Jakarta Pusat. 2 Lantai. 4 Kamar. Luas 412 m2,"Cempaka Putih, Jakarta Pusat","13,5 Miliar",308,412,4,5,,Heru Hermawan,12 Agustus 2022
"Rumah Mewah 3 Lantai, 5 Kamar. Pool, SHM, Menteng. Jakarta Pusat","Menteng, Jakarta Pusat",95 Miliar,574,1100,5,5,,Heru Hermawan,12 Agustus 2022
Rumah Murah di pasar baru jakarta pusat,"Pasar Baru, Jakarta Pusat",540 Juta,20,38,2,2,,Sinta miyanata,06 Agustus 2022
"Rumah mewah, & nyaman di kota Jakarta pusat","Cempaka Putih, Jakarta Pusat","1,4 Miliar",34,96,4,3,1,Ullin Achmad,06 Agustus 2022
Miliki Hunian Di kota Jakarta Pusat,"Cempaka Putih, Jakarta Pusat","1,4 Miliar",34,96,4,3,1,Ullin Achmad,06 Agustus 2022
Rumah murah dan mewah di angkasa Kemayoran Jakarta pusat,"Kemayoran, Jakarta Pusat",552 Juta,36,43,2,2,,Yuli,06 Agustus 2022
"TANAH ABANG V JAKARTA PUSAT,SERIUS LEPAS,HITUNG TANAH,BISA UNTUK BANGUN RUMAH KOST KARYAWAN/GEDUNG KANTOR LOKASI OKE,HITUNG TANAH SAJA.","Tanah Abang, Jakarta Pusat",25 Miliar,870,300,,,,Regina Hakim,06 Agustus 2022
Rumah asri Menteng jl Lembang lt 312m H.19Mly langka hrg miring.cash only,"Menteng, Jakarta Pusat",19 Miliar,312,370,4,3,,Lisa Hafrizal,26 Agustus 2022
Rumah Golf Residence Kemayoran 8 15 Furnish Termurah vr409,"Kemayoran, Jakarta Pusat","3,7 Miliar",120,180,3,3,1,Yung Yung,26 Agustus 2022
Rumah Minimalis Semi Furnished Mewah Siap Huni Tanah Tinggi Jakarta Pusat ngm 11,"Johar Baru, Jakarta Pusat","6,5 Miliar",212,366,4,4,3,Brighton Jakarta,26 Agustus 2022
Rumah 3 lantai di cempaka putih tengah 17 Jakarta pusat,"Cempaka Putih, Jakarta Pusat","1,63 Miliar",35,100,3,2,1,Turmini mini,19 Agustus 2022
RUMAH MEWAH - MENTENG,"Menteng, Jakarta Pusat",70 Miliar,474,1200,6,7,4,Nentis Rusli,19 Agustus 2022
MENTENG,"Menteng, Jakarta Pusat",76 Miliar,1090,760,5,6,2,Nentis Rusli,19 Agustus 2022
"Rumah Lama 3 Lt, Lokasi Strategis di Menteng","Menteng, Jakarta Pusat",21 Miliar,214,300,,,,Louis Santoso,19 Agustus 2022
Rumah Murah Hitung Tanah Di Bawah Njop Cempaka Putih Raya Jakarta,"Cempaka Putih, Jakarta Pusat",15 Miliar,600,325,6,3,2,Darto,18 Agustus 2022
"Rumah Kost2an 106 Kamar Kramat Lontar, Senen Luas 774m2","Senen, Jakarta Pusat",19 Miliar,774,2053,106,51,,Monica,12 Agustus 2022
Cepat Rumah di Jalan Ketapang Kemayoran Cocok Untuk Gudang,"Kemayoran, Jakarta Pusat","12,5 Miliar",600,1440,,,,Uke Dana,12 Agustus 2022
RUMAH MINIMALIS & MODERN DI JLN INDUSTRI GUNUNG SAHARI JAKRTA PUSAT,"Gunung Sahari, Jakarta Pusat",447 Juta,18,34,2,2,,Kartoyo,12 Agustus 2022
Rumah Harga Murah di Menteng Jakarta Pusat Lokasi Jalan Utama,"Menteng, Jakarta Pusat",50 Miliar,600,1500,5,5,5,Willy Ray White Prestige,11 Agustus 2022
"Rumah Minimalis Bagus, Terawat Dan Siap Huni di Kemayoran 0020 Hospio","Kemayoran, Jakarta Pusat","2,8 Miliar",122,145,4,4,,Adiwijaya Ray White Citra Garden,05 Agustus 2022
"Menteng Termurah Hoek, Jl Agus Salim Indramayu, Jakarta Pusat","Menteng, Jakarta Pusat","58,5 Miliar",748,1500,7,7,6,Yan Andrias Andrias,05 Agustus 2022
Rumah murah modern di gunung sahari industri 6 jakarta pusat,"Gunung Sahari, Jakarta Pusat",447 Juta,40,20,2,1,,Fikor rizazul,05 Agustus 2022
Rumah cantik dan minimalis dengan design elegan di Jakarta pusat,"Kartini, Jakarta Pusat",553 Juta,22,39,2,2,,Yuli,04 Agustus 2022
Dijual Rumah Tua Siap Bangun di Pulomas,"Pulomas, Jakarta Timur","2,75 Miliar",160,250,4,4,,Erwin Wijaya,31 Agustus 2022
"Cluster dgn Hunian Minimalis, Lokasi Selangkah ke Kota Wisata dan Gerbang Tol Jatiasih","Kota Wisata, Jakarta Timur",550 Juta,67,47,2,1,1,Dhea  Consultant Property,25 Agustus 2022
Rumah Bebas Banjir Di Jatinegara Indah Cakung Bisa Nego,"Cakung, Jakarta Timur","2,52 Miliar",180,115,3,3,2,PASHOUSES ID,18 Agustus 2022
Rumah 2 Lantai Dekat Cibubur Bebas Banjir Harga Nego,"Cibubur, Jakarta Timur","1,08 Miliar",105,90,3,2,1,PASHOUSES ID,18 Agustus 2022
Termurah Rumah Gaya Bali 2 Lantai Cibubur  Akses Dekat  Pintu Tol Cibubur dan LRT Cibubur Strategis,"Cibubur, Jakarta Timur",900 Juta,74,69,3,2,2,Datu Meirina,10 Agustus 2022
"Rumah Model Prancis, Maison De Wisteria di Cakung Jakarta Timur","Cakung, Jakarta Timur","1,4 Miliar",70,88,2,2,2,Rudi RWSB,03 Agustus 2022
Rumah 3 Lantai dengan Rooftop Tanah Luas,"Rawamangun, Jakarta Timur","2,1 Miliar",132,88,3,2,2,pujianto,31 Agustus 2022
Cluster Mewah 2 Lantai di Rawamangun Jakarta Timur,"Rawamangun, Jakarta Timur","2,6 Miliar",104,160,3,3,2,pujianto,31 Agustus 2022
Dijual Rumah Luas Strategis Dekat Cibubur Siap Huni Bebas Banjir Bisa KPR,"Cibubur, Jakarta Timur","2,22 Miliar",198,150,4,3,1,PASHOUSES ID,31 Agustus 2022
Dijual Rumah Strategis Siap Huni di Komplek Ikip Bisa Kpr,"Duren Sawit, Jakarta Timur","2,34 Miliar",116,120,3,1,2,PASHOUSES ID,31 Agustus 2022
Rumah siap huni di Cipayung Jakarta Timur dalam Cluster,"Cipayung, Jakarta Timur","1,1 Miliar",72,90,3,3,1,Sodikin Muhroj,30 Agustus 2022
"Dijual Bu Cepat Rumah Metland Menteng Cluster Teresta, Cakung Jaktim 029","Cakung, Jakarta Timur","2,5 Miliar",128,103,3,2,,Vera Tandanu,23 Agustus 2022
RECOMMENDED Rumah 2lt 10x20 type 4KT Cluster Dbanyan JGC Jakarta Garden City Cakung,"Cakung, Jakarta Timur","4,17 Miliar",205,200,4,3,,Wiliam Tirta Saputra,16 Agustus 2022
Rumah 2 lantai siap huni 12x20 240m Type 4KT Cluster Palm Spring JGC Jakarta Garden City Cakung,"Cakung, Jakarta Timur","4,6 Miliar",240,235,4,3,2,Wiliam Tirta Saputra,16 Agustus 2022
Rumah mewah di jl cipinang kebembem III,"Cipinang, Jakarta Timur",980 Juta,35,69,2,2,1,Tina apriani,16 Agustus 2022
Rumah Strategis Siap Huni di Bukit Golf Riverside Harga Nego Siap Kpr,"Cibubur, Jakarta Timur","2,55 Miliar",165,160,3,3,1,PASHOUSES ID,10 Agustus 2022
Perdana Rumah 3 Lantai Lebar 7 Cluster Maison De Wisteria By Keppel di Metland Menteng Cakung Jakarta Timur,"Cakung, Jakarta Timur","1,4 Miliar",70,88,3,2,2,Wiliam Tirta Saputra,09 Agustus 2022
Rumah murah deket pintu tol cibubur/plaza cibubur,"Cibubur, Jakarta Timur",675 Juta,54,60,3,2,1,Abu Tsaqif,09 Agustus 2022
"Dijual Bu Rumah Cluster Lantana, Jgc 029)","Cakung, Jakarta Timur","3,5 Miliar",200,208,4,3,1,Hellen,02 Agustus 2022
Cluster Premium di Jatiwaringin,"Jatiwaringin, Jakarta Timur","1,3 Miliar",71,60,3,2,,pujianto,29 Agustus 2022
Rumah 2 Lantai di Rawamangun Jakarta Timur,"Duren Sawit, Jakarta Timur","2,5 Miliar",132,88,3,3,2,pujianto,29 Agustus 2022
Cluster Premium di Jatiwaringin dekat ke Jakarta Timur,"Jatiwaringin, Jakarta Timur",920 Juta,60,65,3,2,,pujianto,29 Agustus 2022
Rumah mewah murah cluster deket pintu tol Cibubur/tol pasar rebo,"Ciracas, Jakarta Timur",800 Juta,60,59,3,2,1,Abu Tsaqif,22 Agustus 2022
Rumah Thames bebas banjir di Cluster Thames Jakarta Garden City,"Cakung, Jakarta Timur","1,5 Miliar",90,58,2,1,2,Irnalia irnalia,22 Agustus 2022
"Rumah cantik, nuansa Eropa, bebas banjir, dalam cluster, smart home sistem Wisteria Jakarta timur wa 087872596359","Cakung, Jakarta Timur","1,4 Miliar",70,88,3,2,,Wempy,16 Agustus 2022
Rumah 3 Lantai Ala Prancis Cicilan 8 Jutaan di Jakarta Timur Bonus Attic Sky Balcony,"Cakung, Jakarta Timur","1,4 Miliar",70,88,2,2,2,Maria ERA,08 Agustus 2022
Rumah 3 Lantai Ala Prancis Cicilan 8 Jutaan di Jakarta Timur Bonus Attic Sky Balcony,"Cakung, Jakarta Timur","1,4 Miliar",70,88,2,2,2,Admin ERA,08 Agustus 2022
Rumah 3 Lantai dengan Rooftop Tanah Luas,"Duren Sawit, Jakarta Timur","2,1 Miliar",132,88,3,2,,pujianto,29 Agustus 2022
cepat rumah minimalis siap huni di metland cakung Jakarta timur,"Cakung, Jakarta Timur","2,25 Miliar",128,103,3,2,1,susi ERASKY,29 Agustus 2022
cepat rumah mewah minimalis termurah di premier Riviera Rawamangun Jakarta timur,"Rawamangun, Jakarta Timur","3,6 Miliar",124,180,3,3,1,susi ERASKY,29 Agustus 2022
"Cluster 2 Lantai Jatiwaringin, Kemang Sari, Harga terMurah","Jatiwaringin, Jakarta Timur",920 Juta,69,85,3,2,2,Dhea  Consultant Property,29 Agustus 2022
Rumah Nyaman Harga Terjangkau di Matraman Jakarta Timur,"Matraman, Jakarta Timur",760 Juta,34,60,2,2,1,Kanita,22 Agustus 2022
Jatiwaringin 2 Lantai 920 Juta Jarang Ada,"Jatiwaringin, Jakarta Timur",920 Juta,116,85,3,2,2,hendrik p,22 Agustus 2022
Rumah 2 Lantai Termurah Lokasi Strategis Deket Tol Dan Lrt,"Cibubur, Jakarta Timur",770 Juta,68,65,3,2,1,Robby .,15 Agustus 2022
"Rumah Baru di Perumnas Klender, Cakung, Jakarta Timur","Klender, Jakarta Timur","1,19 Miliar",78,110,3,2,2,Sodikin Muhroj,28 Agustus 2022
"Dijual Rumah 1,5 Lantai Pondok Rangon Jakarta Timur","Pondok Ranggon, Jakarta Timur",700 Juta,78,100,2,1,1,yana robiyana,27 Agustus 2022
Rumah 7x14 98m type 3KT cluster Semayang Asya JGC Jakarta Garden City,"Cakung, Jakarta Timur","2,75 Miliar",98,115,3,4,10,Wiliam Tirta Saputra,26 Agustus 2022
cepat Rumah Hook  di Royal Residence Cakung Jakarta Timur,"Cakung, Jakarta Timur","2,75 Miliar",225,127,3,3,2,susi ERASKY,26 Agustus 2022
Rumah Termurah Area JGC Harga Promo 3 Lantai,"Cakung, Jakarta Timur","1,4 Miliar",70,88,2,2,2,Yuana,06 Agustus 2022
Rumah siap huni di Ceger dekat RS Adhyaksa,"Cipayung, Jakarta Timur","1,55 Miliar",80,90,3,3,2,Sodikin Muhroj,26 Agustus 2022
Rumah Minimalis Strategis Dekat Cibubur Siap Huni,"Cibubur, Jakarta Timur",700 Juta,105,105,2,2,1,PASHOUSES ID,18 Agustus 2022
"Dijual Bu Rumah Cluster North Thames, Jakarta Garden City 028","Cakung, Jakarta Timur",3 Miliar,170,170,2,2,1,Vera Tandanu,04 Agustus 2022
Dijual Murah Rumah Baru Jakarta Garden City Uk.5x15 Cakung Jaktim,"Cakung, Jakarta Timur","1,6 Miliar",75,75,2,2,2,Richard,01 September 2022
Rumah 2 Lantai Bagus Sekali Furnished di Legenda Wisata,"Legenda Wisata, Jakarta Timur","7,5 Miliar",580,350,4,3,,Ratna Duta Property Cibubur,01 September 2022
"Rumah Dijual Full Furnish Siap Huni, Strategis di Raffles Hills","Raffles Hills, Jakarta Timur","2,7 Miliar",160,204,3,3,,Ratna Duta Property Cibubur,01 September 2022
"Rumah 2 Lantai Furnished SHM di Citra Grand , Jakarta Timur","Citra Grand, Jakarta Timur","3,5 Miliar",230,209,3,3,,Ratna Duta Property Cibubur,01 September 2022
Rumah Baru Minimalis Classic Strategis Di Condet Raya Jakarta,"Condet, Jakarta Timur","1,68 Miliar",80,125,3,3,1,CS Rumaindo,01 September 2022
Dijual murah rumah 3 Lantai di Jakarta Garden city Furnished,"Cakung, Jakarta Timur","3,5 Miliar",98,125,3,4,1,Sulastri,01 September 2022
Rumah Dijual Cepat Harga Nego Baru Full Renovasi di Citra Grand,"Citra Grand, Jakarta Timur","1,5 Miliar",120,140,3,2,,Dewi,01 September 2022
Rumah Bagus Rapi Ukuran 10x16 Lokasi Cluster Kayu Putih Residence,"Kayu Putih, Jakarta Timur","4,5 Miliar",160,205,3,3,2,Hengky Lim Ray White Prestige,01 September 2022
RUMAHA HOOK DI MALAKA COUNTRY ESTATE,"Pondok Kopi, Jakarta Timur",6 Miliar,252,96,6,3,,Ayu Amalia,31 Agustus 2022
"Rumah 3 Lantai Baru di Podomoro Jakarta, Jakarta Timur","Buaran, Jakarta Timur","6,1 Miliar",136,231,4,4,2,omar propertyndo,31 Agustus 2022
Rumah Siap Huni Dekat Sekolah Don Bosco di Pulomas,"Pulomas, Jakarta Timur","3,15 Miliar",160,240,3,3,1,Erwin Wijaya,31 Agustus 2022
"rumah kayu putih dengan kolam renang, jalan lebar, bebas banjir, tenang, Turuun Harga, Jakarta Timur.","Kayu Putih, Jakarta Timur","16,8 Miliar",734,,4,1,,Gree RWKG,31 Agustus 2022
Rumah 3 Lantai Ala Prancis  di Jakarta Timur,"Cakung, Jakarta Timur","1,4 Miliar",70,88,2,2,2,Nando Gessing,25 Agustus 2022
Rumah Exclusive Fasilitas Smart Home,"Cibubur, Jakarta Timur",500 Juta,60,48,2,2,1,Toro Zuhair Pro,25 Agustus 2022
Di Jual Rumah Rawamangun Jakarta Timur Lingkungan Bagus,"Rawamangun, Jakarta Timur","2,7 Miliar",135,250,5,4,,Agung Wibowo,25 Agustus 2022
Rumah mewah swimming pool siap huni pondok kelapa,"Pondok Kelapa, Jakarta Timur",6 Miliar,220,500,6,5,3,Ahmad Andika,25 Agustus 2022
DIJUAL MURAH Rumah Private Pool Mewah Terawat Siap Huni Dalam Perumahan Pulogebang Permai Cakung Jakarta Timur Strategis Dekat Gerbang Tol Pulogebang Lingkungan Nyaman Tidak Banjir,"Pulogebang, Jakarta Timur","4,5 Miliar",436,420,5,6,2,Warsikin Asyraf  Raja Closing,24 Agustus 2022
